id,province_id,name
142707000,142700000,"Alfonso Lista"
142708000,142700000,"Aguinaldo"
142709000,142700000,"Hingyon"
142710000,142700000,"Tinoc"
142711000,142700000,"Asipulo"
143201000,143200000,"Balbalan"
143206000,143200000,"Lubuagan"
143208000,143200000,"Pasil"
143209000,143200000,"Pinukpuk"
143211000,143200000,"Rizal"
143213000,143200000,"City of Tabuk"
143214000,143200000,"Tanudan"
143215000,143200000,"Tinglayan"
144401000,144400000,"Barlig"
144402000,144400000,"Bauko"
144403000,144400000,"Besao"
144404000,144400000,"Bontoc"
144405000,144400000,"Natonin"
144406000,144400000,"Paracelis"
144407000,144400000,"Sabangan"
144408000,144400000,"Sadanga"
144409000,144400000,"Sagada"
144410000,144400000,"Tadian"
148101000,148100000,"Calanasan"
148102000,148100000,"Conner"
148103000,148100000,"Flora"
148104000,148100000,"Kabugao"
148105000,148100000,"Luna"
148106000,148100000,"Pudtol"
148107000,148100000,"Santa Marcela"
